Combination,Checkpoint,Score
160m-410m,step64000,0.48481646180152893
410m-70m,step64000,0.1713302731513977
1.4b-14m,step64000,0.3476375937461853
1b-70m,step64000,0.16077981889247894
1.4b-160m,step64000,0.4491284489631653
1.4b-1b,step64000,0.46827980875968933
14m-160m,step64000,0.38222476840019226
1.4b-410m,step64000,0.5411009192466736
1.4b-70m,step64000,0.17862387001514435
14m-70m,step64000,0.13190367817878723
14m-410m,step64000,0.3629586696624756
14m-1b,step64000,0.35568803548812866
160m-410m,step64000,0.48481646180152893
160m-1b,step64000,0.4845641851425171
410m-70m,step64000,0.1713302731513977
160m-70m,step64000,0.20387612283229828
1b-70m,step64000,0.16077981889247894
1b-410m,step64000,0.49784404039382935
1.4b-14m,step71000,0.30103209614753723
1.4b-160m,step71000,0.42793574929237366
14m-410m,step71000,0.34784403443336487
14m-1b,step71000,0.34018346667289734
14m-160m,step71000,0.35940366983413696
1.4b-1b,step71000,0.4681192934513092
1.4b-70m,step71000,0.1335321068763733
1.4b-410m,step71000,0.5066055059432983
14m-70m,step71000,0.18126147985458374
160m-1b,step71000,0.5016283988952637
1.4b-14m,step71000,0.30103209614753723
160m-70m,step71000,0.14793577790260315
410m-70m,step71000,0.13174311816692352
1b-70m,step71000,0.1472935825586319
160m-410m,step71000,0.50288987159729
1b-410m,step71000,0.5418119430541992
1.4b-160m,step71000,0.42793574929237366
1.4b-410m,step71000,0.5066055059432983
1.4b-70m,step71000,0.1335321068763733
1.4b-1b,step71000,0.4681192934513092
14m-160m,step71000,0.35940366983413696
14m-410m,step71000,0.34784403443336487
14m-1b,step71000,0.34018346667289734
14m-70m,step71000,0.18126147985458374
160m-1b,step71000,0.5016283988952637
160m-410m,step71000,0.50288987159729
410m-70m,step71000,0.13174311816692352
160m-70m,step71000,0.14793577790260315
1b-70m,step71000,0.1472935825586319
1b-410m,step71000,0.5418119430541992
1.4b-160m,step78000,0.40573394298553467
1.4b-14m,step78000,0.30052751302719116
1.4b-1b,step78000,0.5129128694534302
14m-160m,step78000,0.2664678990840912
14m-410m,step78000,0.2712843716144562
14m-70m,step78000,0.07908257097005844
14m-1b,step78000,0.28621557354927063
1.4b-410m,step78000,0.39263761043548584
1.4b-70m,step78000,0.06011468172073364
160m-1b,step78000,0.40958720445632935
160m-410m,step78000,0.43880730867385864
1b-410m,step78000,0.42433488368988037
1b-70m,step78000,0.056307338178157806
160m-70m,step78000,0.054862380027770996
1.4b-14m,step78000,0.30052751302719116
1.4b-160m,step78000,0.40573394298553467
410m-70m,step78000,0.08077982068061829
1.4b-1b,step78000,0.5129128694534302
1.4b-410m,step78000,0.39263761043548584
14m-160m,step78000,0.2664678990840912
14m-410m,step78000,0.2712843716144562
14m-70m,step78000,0.07908257097005844
1.4b-70m,step78000,0.06011468172073364
14m-1b,step78000,0.28621557354927063
160m-1b,step78000,0.40958720445632935
160m-410m,step78000,0.43880730867385864
160m-70m,step78000,0.054862380027770996
1b-410m,step78000,0.42433488368988037
1.4b-14m,step85000,0.2349541187286377
1.4b-160m,step85000,0.23848623037338257
410m-70m,step78000,0.08077982068061829
1b-70m,step78000,0.056307338178157806
14m-160m,step85000,0.1355045884847641
1.4b-410m,step85000,0.45830273628234863
1.4b-1b,step85000,0.5624312162399292
14m-410m,step85000,0.258096307516098
14m-70m,step85000,0.08286696672439575
1.4b-70m,step85000,0.07344036549329758
14m-1b,step85000,0.26032108068466187
160m-70m,step85000,0.07616972178220749
160m-410m,step85000,0.2339678704738617
160m-1b,step85000,0.21369265019893646
1b-70m,step85000,0.07614678889513016
410m-70m,step85000,0.07621560245752335
1.4b-14m,step92000,0.3168119490146637
1b-410m,step85000,0.433807373046875
1.4b-160m,step92000,0.3019724488258362
1.4b-70m,step92000,0.09059633314609528
1.4b-410m,step92000,0.5337614417076111
14m-160m,step92000,0.314931184053421
1.4b-1b,step92000,0.47896793484687805
14m-1b,step92000,0.33346325159072876
14m-410m,step92000,0.3284403681755066
14m-70m,step92000,0.08573393523693085
160m-1b,step92000,0.3015596270561218
160m-410m,step92000,0.2861008942127228
160m-70m,step92000,0.2695871889591217
1b-70m,step92000,0.07876145839691162
1b-410m,step92000,0.512385368347168
1.4b-14m,step92000,0.3168119490146637
410m-70m,step92000,0.08428899198770523
1.4b-160m,step92000,0.3019724488258362
14m-160m,step92000,0.314931184053421
1.4b-410m,step92000,0.5337614417076111
1.4b-70m,step92000,0.09059633314609528
1.4b-1b,step92000,0.47896793484687805
14m-410m,step92000,0.3284403681755066
14m-1b,step92000,0.33346325159072876
14m-70m,step92000,0.08573393523693085
160m-1b,step92000,0.3015596270561218
160m-70m,step92000,0.2695871889591217
410m-70m,step92000,0.08428899198770523
160m-410m,step92000,0.2861008942127228
1b-410m,step92000,0.512385368347168
1b-70m,step92000,0.07876145839691162
1.4b-14m,step99000,0.2722018361091614
1.4b-160m,step99000,0.29256880283355713
1.4b-1b,step99000,0.46405965089797974
14m-160m,step99000,0.3023165166378021
1.4b-70m,step99000,0.0950000062584877
1.4b-410m,step99000,0.5199999809265137
14m-410m,step99000,0.30830276012420654
14m-1b,step99000,0.30096328258514404
14m-70m,step99000,0.09142202138900757
160m-1b,step99000,0.32183483242988586
160m-410m,step99000,0.3148164749145508
160m-70m,step99000,0.21756882965564728
1b-410m,step99000,0.5057798027992249
410m-70m,step99000,0.1281651258468628
1b-70m,step99000,0.08325687050819397
1.4b-14m,step99000,0.2722018361091614
1.4b-160m,step99000,0.29256880283355713
14m-160m,step99000,0.3023165166378021
1.4b-70m,step99000,0.0950000062584877
1.4b-1b,step99000,0.46405965089797974
14m-70m,step99000,0.09142202138900757
14m-410m,step99000,0.30830276012420654
1.4b-410m,step99000,0.5199999809265137
14m-1b,step99000,0.30096328258514404
160m-1b,step99000,0.32183483242988586
410m-70m,step99000,0.1281651258468628
160m-70m,step99000,0.21756882965564728
1b-410m,step99000,0.5057798027992249
1b-70m,step99000,0.08325687050819397
160m-410m,step99000,0.3148164749145508
1.4b-14m,step106000,0.24424311518669128
1.4b-160m,step106000,0.26951834559440613
14m-410m,step106000,0.23628437519073486
14m-70m,step106000,0.2003440260887146
14m-1b,step106000,0.2663761377334595
1.4b-1b,step106000,0.5943118929862976
1.4b-70m,step106000,0.16025228798389435
14m-160m,step106000,0.2639678716659546
1.4b-410m,step106000,0.5328899025917053
160m-410m,step106000,0.288921982049942
160m-1b,step106000,0.3162614703178406
410m-70m,step106000,0.15378440916538239
160m-70m,step106000,0.3215825855731964
1b-70m,step106000,0.17610089480876923
1b-410m,step106000,0.5011467933654785
1.4b-14m,step106000,0.24424311518669128
1.4b-160m,step106000,0.26951834559440613
1.4b-1b,step106000,0.5943118929862976
14m-1b,step106000,0.2663761377334595
14m-70m,step106000,0.2003440260887146
14m-160m,step106000,0.2639678716659546
1.4b-70m,step106000,0.16025228798389435
1.4b-410m,step106000,0.5328899025917053
14m-410m,step106000,0.23628437519073486
160m-70m,step106000,0.3215825855731964
160m-1b,step106000,0.3162614703178406
160m-410m,step106000,0.288921982049942
1.4b-14m,step113000,0.2888990640640259
1.4b-160m,step113000,0.26786696910858154
1b-70m,step106000,0.17610089480876923
1b-410m,step106000,0.5011467933654785
410m-70m,step106000,0.15378440916538239
1.4b-1b,step113000,0.5572706460952759
14m-160m,step113000,0.2995642125606537
14m-70m,step113000,0.15309633314609528
1.4b-410m,step113000,0.5340138077735901
14m-410m,step113000,0.30036693811416626
1.4b-70m,step113000,0.1412385255098343
14m-1b,step113000,0.34041279554367065
160m-1b,step113000,0.3209403455257416
160m-70m,step113000,0.32266053557395935
160m-410m,step113000,0.3067660629749298
1b-410m,step113000,0.5085092186927795
410m-70m,step113000,0.16252292692661285
1b-70m,step113000,0.15784403681755066
1.4b-160m,step120000,0.2712843716144562
1.4b-14m,step120000,0.23823393881320953
1.4b-70m,step120000,0.16298164427280426
14m-160m,step120000,0.27465593814849854
1.4b-410m,step120000,0.47357797622680664
1.4b-1b,step120000,0.4487844407558441
14m-410m,step120000,0.2846100628376007
14m-1b,step120000,0.29513758420944214
160m-1b,step120000,0.3240596652030945
14m-70m,step120000,0.16449539363384247
160m-70m,step120000,0.34458714723587036
160m-410m,step120000,0.2899540960788727
1b-70m,step120000,0.16561926901340485
1b-410m,step120000,0.5178211331367493
410m-70m,step120000,0.18059630692005157
1.4b-14m,step120000,0.23823393881320953
1.4b-160m,step120000,0.2712843716144562
1.4b-1b,step120000,0.4487844407558441
14m-160m,step120000,0.27465593814849854
1.4b-410m,step120000,0.47357797622680664
14m-1b,step120000,0.29513758420944214
1.4b-70m,step120000,0.16298164427280426
14m-410m,step120000,0.2846100628376007
14m-70m,step120000,0.16449539363384247
160m-70m,step120000,0.34458714723587036
160m-1b,step120000,0.3240596652030945
410m-70m,step120000,0.18059630692005157
160m-410m,step120000,0.2899540960788727
1b-410m,step120000,0.5178211331367493
1b-70m,step120000,0.16561926901340485
1.4b-160m,step127000,0.3118807375431061
14m-160m,step127000,0.33807340264320374
1.4b-14m,step127000,0.26520639657974243
14m-1b,step127000,0.31655964255332947
1.4b-410m,step127000,0.5622247457504272
1.4b-1b,step127000,0.47394493222236633
1.4b-70m,step127000,0.20094037055969238
14m-410m,step127000,0.305183470249176
14m-70m,step127000,0.2139449566602707
160m-70m,step127000,0.29300457239151
160m-1b,step127000,0.35183483362197876
160m-410m,step127000,0.3096100687980652
1.4b-14m,step127000,0.26520639657974243
1b-70m,step127000,0.19107797741889954
410m-70m,step127000,0.1926376074552536
1.4b-160m,step127000,0.3118807375431061
1b-410m,step127000,0.5548853278160095
1.4b-410m,step127000,0.5622247457504272
1.4b-70m,step127000,0.20094037055969238
1.4b-1b,step127000,0.47394493222236633
14m-160m,step127000,0.33807340264320374
14m-410m,step127000,0.305183470249176
14m-70m,step127000,0.2139449566602707
160m-1b,step127000,0.35183483362197876
14m-1b,step127000,0.31655964255332947
160m-410m,step127000,0.3096100687980652
160m-70m,step127000,0.29300457239151
410m-70m,step127000,0.1926376074552536
1b-410m,step127000,0.5548853278160095
1b-70m,step127000,0.19107797741889954
1.4b-14m,step134000,0.28805044293403625
1.4b-160m,step134000,0.2684174180030823
1.4b-1b,step134000,0.4673624038696289
14m-160m,step134000,0.2902752161026001
1.4b-410m,step134000,0.5488531589508057
14m-410m,step134000,0.3160550594329834
14m-70m,step134000,0.1611926555633545
1.4b-70m,step134000,0.14091743528842926
14m-1b,step134000,0.3030734062194824
160m-410m,step134000,0.29538989067077637
160m-70m,step134000,0.39259177446365356
160m-1b,step134000,0.25736236572265625
1b-410m,step134000,0.4934403598308563
1.4b-14m,step134000,0.28805044293403625
410m-70m,step134000,0.1510091871023178
1.4b-160m,step134000,0.2684174180030823
1b-70m,step134000,0.15188074111938477
14m-160m,step134000,0.2902752161026001
1.4b-410m,step134000,0.5488531589508057
1.4b-70m,step134000,0.14091743528842926
14m-70m,step134000,0.1611926555633545
14m-410m,step134000,0.3160550594329834
1.4b-1b,step134000,0.4673624038696289
14m-1b,step134000,0.3030734062194824
160m-410m,step134000,0.29538989067077637
160m-1b,step134000,0.25736236572265625
160m-70m,step134000,0.39259177446365356
1.4b-14m,step141000,0.34314221143722534
410m-70m,step134000,0.1510091871023178
