,Model A,Model B,Step,Score
54,vit_large_patch16_224.mae,vit_base_patch16_clip_224.laion2b_ft_in12k,0,0.42159998416900635
55,vit_large_patch16_224.mae,vit_large_patch14_clip_224.laion2b_ft_in12k,0,0.41624000668525696
56,vit_large_patch16_224.mae,vit_huge_patch14_clip_224.laion2b_ft_in12k,0,0.4027999937534332
57,vit_huge_patch14_224.mae,vit_base_patch16_clip_224.laion2b,0,0.41680002212524414
58,vit_huge_patch14_224.mae,vit_large_patch14_clip_224.laion2b,0,0.39928004145622253
59,vit_huge_patch14_224.mae,vit_huge_patch14_clip_224.laion2b,0,0.3978399932384491
60,vit_huge_patch14_224.mae,vit_base_patch16_clip_224.laion2b_ft_in12k,0,0.40911999344825745
61,vit_huge_patch14_224.mae,vit_large_patch14_clip_224.laion2b_ft_in12k,0,0.4069599509239197
62,vit_huge_patch14_224.mae,vit_huge_patch14_clip_224.laion2b_ft_in12k,0,0.3901599645614624
63,vit_base_patch16_clip_224.laion2b,vit_large_patch14_clip_224.laion2b,0,0.688480019569397
64,vit_base_patch16_clip_224.laion2b,vit_huge_patch14_clip_224.laion2b,0,0.6996000409126282
65,vit_base_patch16_clip_224.laion2b,vit_base_patch16_clip_224.laion2b_ft_in12k,0,0.5699999332427979
66,vit_base_patch16_clip_224.laion2b,vit_large_patch14_clip_224.laion2b_ft_in12k,0,0.5726399421691895
67,vit_base_patch16_clip_224.laion2b,vit_huge_patch14_clip_224.laion2b_ft_in12k,0,0.5651199221611023
68,vit_large_patch14_clip_224.laion2b,vit_huge_patch14_clip_224.laion2b,0,0.7146400213241577
69,vit_large_patch14_clip_224.laion2b,vit_base_patch16_clip_224.laion2b_ft_in12k,0,0.5563200116157532
70,vit_large_patch14_clip_224.laion2b,vit_large_patch14_clip_224.laion2b_ft_in12k,0,0.5891199111938477
71,vit_large_patch14_clip_224.laion2b,vit_huge_patch14_clip_224.laion2b_ft_in12k,0,0.5857599973678589
72,vit_huge_patch14_clip_224.laion2b,vit_base_patch16_clip_224.laion2b_ft_in12k,0,0.5433599948883057
73,vit_huge_patch14_clip_224.laion2b,vit_large_patch14_clip_224.laion2b_ft_in12k,0,0.5621599555015564
74,vit_huge_patch14_clip_224.laion2b,vit_huge_patch14_clip_224.laion2b_ft_in12k,0,0.5699999928474426
75,vit_base_patch16_clip_224.laion2b_ft_in12k,vit_large_patch14_clip_224.laion2b_ft_in12k,0,0.6190399527549744
76,vit_base_patch16_clip_224.laion2b_ft_in12k,vit_huge_patch14_clip_224.laion2b_ft_in12k,0,0.5991999506950378
77,vit_large_patch14_clip_224.laion2b_ft_in12k,vit_huge_patch14_clip_224.laion2b_ft_in12k,0,0.6502400040626526
78,vit_tiny_patch16_224.augreg_in21k,vit_small_patch16_224.augreg_in21k,5,0.5545600056648254
79,vit_tiny_patch16_224.augreg_in21k,vit_base_patch16_224.augreg_in21k,5,0.6095199584960938
